,coef
Title_Master,1.664423436992029
Sex_female,1.2609152457699142
Deck_E,0.914713440781735
Pclass_1,0.697283983651224
Title_Mrs,0.6885184280815455
Deck_D,0.6188136297102269
log_fare,0.44829920176570714
Pclass_2,0.413381218818233
Embarked_C,0.36960561349281595
Deck_B,0.25676394664472135
Embarked_Q,0.21562690138152465
Deck_F,0.1884133411845978
Deck_A,0.16692797913091104
Embarked_Missing,0.09616820521177467
Embarked_S,-0.009360506391331465
Age,-0.033538400551648084
is_alone,-0.07181039298821984
Title_Miss,-0.15273086113511494
Deck_C,-0.21274594803850586
Deck_T,-0.2566542133957872
Pclass_3,-0.43862498877465544
Title_Rare,-0.4638063187698275
Deck_G,-0.5010438277114825
Deck_U,-0.5031481346116615
family_size,-0.520912723617186
Sex_male,-0.5888750320751612
Title_Mr,-1.0643644714738678
